id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
97,"Pantonio","Santropol Roulant","111, rue Roy Est","2015","Le Plateau-Mont-Royal","Programme graffitis et murales",45.516451,-73.575145,"https://depot.ville.montreal.qc.ca/murales/_0144739p.jpg"
98,"Carlito Dalceggio","MU","6158, rue Laurendeau","2015","Le Sud-Ouest","Programme graffitis et murales",45.457098,-73.588239,"https://depot.ville.montreal.qc.ca/murales/_0143821p.jpg"
99,"Gene Pendon et Bryan Beyung","MU","1110, boulevard St-Laurent","2015","Ville-Marie","Programme graffitis et murales",45.508597,-73.561378,"https://depot.ville.montreal.qc.ca/murales/_0143817p.jpg"
100,"Julian Palma","MU","7060, avenue Bloomfield","2015","Villeray–Saint-Michel–Parc-Extension","Programme graffitis et murales",45.526961,-73.623516,"https://depot.ville.montreal.qc.ca/murales/_0143838p.jpg"
101,"Phillip Adams","MU","1695, rue Saint-Dominique","2015","Ville-Marie","Programme graffitis et murales",45.51181,-73.566284,"https://depot.ville.montreal.qc.ca/murales/_0143906p.jpg"
102,"Laurent Gascon","Société pour Promouvoir les Arts Gigantesques (SPAG)","2915, rue Ontario","2015","Ville-Marie","Programme graffitis et murales",45.537604,-73.549785,"https://depot.ville.montreal.qc.ca/murales/_0143902p.jpg"
103,"Curiot - Cette murale n'est plus visible","MURAL","coin nord-ouest de Sherbrooke et Jeanne-Mance","2015","Ville-Marie","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.509159,-73.571184,"https://depot.ville.montreal.qc.ca/murales/2015_CURIOT.jpg"
104,"Shalak & Smoky","SODER","6251, avenue Christophe-Colomb (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.536964,-73.598738,"https://depot.ville.montreal.qc.ca/murales/_0144733p.jpg"
105,"Mr Crocks","SODER","362, rue Beaubien Est","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.533465,-73.605139,"https://depot.ville.montreal.qc.ca/murales/_0143870p.jpg"
106,"Hoarkor","SODER","205, rue de Bellechasse (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.530861,-73.603995,"https://depot.ville.montreal.qc.ca/murales/_0143855p.jpg"
107,"Maxime Fortin (4-TIN)","SODER","5620, 7e Avenue (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.5496285,-73.580264,"https://depot.ville.montreal.qc.ca/murales/SODER2015-MaximeFortin.jpg"
108,"Cyndie Belhumeur","SODER","5629, 7e Avenue (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.5498767,-73.5803157,"https://depot.ville.montreal.qc.ca/murales/SODER2015-CyndieBelhumeur.jpg"
109,"Sophie Wilkins","SODER","4903, boulevard Rosemont (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.5688595,-73.5690687,"https://depot.ville.montreal.qc.ca/murales/SODER2015-SophieWilkins.jpg"
110,"Adeline Benhammouda","SODER","2018-2020-2022, rue Des Carrières (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.5417297,-73.5899617,"https://depot.ville.montreal.qc.ca/murales/SODER2015-AdelineBenhammouda.jpg"
111,"MC Baldassari","SODER","421, rue Bélanger Est (ruelle)","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.5376815,-73.6138458,"https://depot.ville.montreal.qc.ca/murales/SODER2015-MCBaldassari.jpg"
112,"Mateo (Mathieu Bories)","SODER","1109, rue Beaubien Est","2015","Rosemont–La Petite-Patrie","Programme graffitis et murales",45.5381919,-73.6035681,"https://depot.ville.montreal.qc.ca/murales/SODER2015-Mateo.jpg"
